epoch	loss	prec1	prec5	lr
1	0.7235165238380432	43.18181610107422	100.0	0.01
2	0.7152395844459534	43.18181610107422	100.0	0.01
3	0.6752123236656189	52.272727966308594	100.0	0.01
4	0.6667318940162659	62.5	100.0	0.01
5	0.6487017869949341	59.09090805053711	100.0	0.01
6	0.6563766598701477	64.7727279663086	100.0	0.01
7	0.6710789203643799	62.5	100.0	0.01
8	0.5959166884422302	72.7272720336914	100.0	0.01
9	0.6214814782142639	68.18181610107422	100.0	0.01
10	0.6007345914840698	67.04545593261719	100.0	0.001
